id,id_tiempo,id_territorio,id_tipo_delito,coneguts,resolts,detencions
743,13,27,2,4,6,2
744,13,27,17,24,18,8
745,13,27,18,11,10,3
746,13,27,19,1,1,0
747,13,27,3,23,1,0
748,13,27,4,12,5,1
749,13,27,20,36,7,3
750,13,27,48,4,3,0
751,13,27,21,60,7,8
752,13,27,22,70,2,3
753,13,27,23,79,11,14
754,13,27,24,26,28,1
755,13,27,5,2,1,0
756,13,27,6,4,4,1
757,13,27,26,5,4,5
758,13,27,38,1,0,0
759,13,27,9,1,0,0
760,13,27,10,14,14,9
761,13,27,28,1,1,1
762,13,27,29,4,3,2
763,13,27,13,0,0,2
764,13,27,30,19,19,0
765,13,27,31,12,12,13
766,13,27,32,2,2,2
767,13,27,33,10,9,0
768,13,27,14,1,1,3
769,13,27,15,268,25,1
770,13,27,34,1,0,0
771,13,27,35,6,6,0
772,13,27,16,51,49,0
773,13,28,59,0,0,2
774,13,28,1,3,1,0
775,13,28,2,2,1,0
776,13,28,17,11,10,7
777,13,28,18,12,12,8
778,13,28,19,1,1,0
779,13,28,3,29,4,0
780,13,28,4,10,6,1
781,13,28,20,55,12,15
782,13,28,48,3,3,0
783,13,28,65,0,1,2
784,13,28,21,64,10,14
785,13,28,22,75,9,6
786,13,28,23,70,11,12
787,13,28,24,27,11,4
788,13,28,5,3,1,1
789,13,28,36,0,0,1
790,13,28,6,4,3,1
791,13,28,26,6,6,7
792,13,28,10,16,14,5
793,13,28,44,2,2,1
794,13,28,28,1,1,1
795,13,28,29,2,1,0
796,13,28,30,12,12,1
797,13,28,31,5,5,5
798,13,28,33,3,2,0
799,13,28,14,5,4,11
800,13,28,15,307,36,0
801,13,28,34,0,1,0
802,13,28,35,3,3,0
803,13,28,16,40,35,0
804,13,29,62,0,1,0
805,13,29,59,1,1,0
806,13,29,2,2,2,0
807,13,29,68,1,0,0
808,13,29,69,1,0,0
809,13,29,3,2,0,0
810,13,29,4,3,1,0
811,13,29,20,26,1,0
812,13,29,21,3,2,0
813,13,29,22,16,0,0
814,13,29,23,16,1,0
815,13,29,24,0,2,0
816,13,29,6,1,1,0
817,13,29,10,0,1,0
818,13,29,44,1,0,0
819,13,29,29,1,1,0
820,13,29,30,2,2,0
821,13,29,31,3,3,1
822,13,29,55,5,4,0
823,13,29,14,1,0,0
824,13,29,15,170,1,0
825,13,29,34,0,1,0
826,13,29,35,1,1,0
827,13,29,16,3,2,0
828,13,30,1,2,1,0
829,13,30,17,8,7,4
830,13,30,18,1,1,1
831,13,30,19,0,1,0
832,13,30,3,6,0,0
833,13,30,4,8,1,1
834,13,30,60,1,1,0
835,13,30,20,31,9,4
836,13,30,48,1,1,0
837,13,30,65,1,1,0
838,13,30,49,1,1,0
839,13,30,21,93,15,6
840,13,30,22,53,1,0
841,13,30,23,23,6,6
842,13,30,24,9,6,1
843,13,30,6,3,3,1
844,13,30,26,4,3,1
845,13,30,27,1,1,0
846,13,30,10,5,4,3
847,13,30,44,1,1,0
848,13,30,28,1,1,2
849,13,30,39,0,0,2
850,13,30,30,9,9,0
851,13,30,31,7,7,0
852,13,30,33,1,1,0
853,13,30,14,1,1,1
854,13,30,70,1,1,0
855,13,30,15,172,29,0
856,13,30,35,3,4,0
857,13,30,16,24,22,0
858,13,31,62,1,0,0
859,13,31,54,1,1,1
860,13,31,1,2,0,0
861,13,31,2,3,2,1
862,13,31,17,17,16,7
863,13,31,18,8,8,5
864,13,31,19,3,1,0
865,13,31,3,23,5,0
866,13,31,4,9,1,5
867,13,31,20,32,7,5
868,13,31,21,97,18,22
869,13,31,22,48,4,3
870,13,31,23,14,3,1
871,13,31,24,14,5,1
872,13,31,5,1,0,0
873,13,31,36,2,2,0
874,13,31,6,8,8,3
875,13,31,26,6,6,4
876,13,31,9,0,1,0
877,13,31,27,2,2,2
878,13,31,10,6,6,4
879,13,31,44,1,1,0
880,13,31,28,1,1,1
881,13,31,29,2,2,2
882,13,31,39,1,1,0
883,13,31,30,15,15,0
884,13,31,31,10,10,2
885,13,31,32,1,1,0
886,13,31,14,3,3,7
887,13,31,15,166,21,0
888,13,31,34,1,1,0
889,13,31,35,4,4,0
890,13,31,16,47,42,0
891,13,32,1,1,1,0
892,13,32,2,4,6,0
893,13,32,42,0,1,0
894,13,32,17,21,19,8
895,13,32,18,4,4,2
896,13,32,68,1,0,0
897,13,32,3,29,4,1
898,13,32,47,1,1,0
899,13,32,4,13,3,0
900,13,32,20,53,7,7
901,13,32,21,81,13,9
902,13,32,22,86,3,4
903,13,32,23,20,7,1
904,13,32,24,20,13,1
905,13,32,36,1,1,0
906,13,32,6,7,6,3
907,13,32,26,2,3,2
908,13,32,57,0,0,8
909,13,32,9,3,0,0
910,13,32,10,9,8,5
911,13,32,44,1,0,0
912,13,32,71,1,1,1
913,13,32,29,2,1,2
914,13,32,12,1,0,0
915,13,32,39,4,2,2
916,13,32,30,26,26,0
917,13,32,31,17,18,0
918,13,32,32,0,0,1
919,13,32,33,9,8,0
920,13,32,14,6,7,5
921,13,32,15,316,52,1
922,13,32,34,1,2,0
923,13,32,35,5,4,0
924,13,32,16,56,53,0
925,13,33,59,0,0,1
926,13,33,2,5,3,2
927,13,33,17,13,11,5
928,13,33,18,2,3,1
929,13,33,3,22,2,0
930,13,33,4,11,1,0
931,13,33,20,28,4,1
932,13,33,65,1,1,2
933,13,33,21,89,16,14
934,13,33,22,52,6,3
935,13,33,23,14,3,2
